,None,D0,D1,D2,D3,D4
122,24.86,34.72,39.12,1.3,0.0,0.0
123,24.64,27.77,46.32,1.26,0.0,0.0
124,21.5,30.41,48.09,0.0,0.0,0.0
125,30.26,35.58,34.16,0.0,0.0,0.0
126,30.26,46.4,23.34,0.0,0.0,0.0
127,40.02,50.44,9.54,0.0,0.0,0.0
128,53.85,36.61,9.54,0.0,0.0,0.0
129,65.72,34.28,0.0,0.0,0.0,0.0
130,65.72,34.28,0.0,0.0,0.0,0.0
131,96.39,3.61,0.0,0.0,0.0,0.0
132,96.39,3.61,0.0,0.0,0.0,0.0
133,96.43,3.57,0.0,0.0,0.0,0.0
134,96.43,3.57,0.0,0.0,0.0,0.0
135,96.43,3.57,0.0,0.0,0.0,0.0
136,96.43,3.57,0.0,0.0,0.0,0.0
137,96.43,3.57,0.0,0.0,0.0,0.0
138,14.74,85.25,0.01,0.0,0.0,0.0
139,9.22,87.47,3.3,0.01,0.0,0.0
140,18.55,77.86,3.58,0.01,0.0,0.0
141,18.61,77.81,3.57,0.01,0.0,0.0
142,82.26,15.68,2.06,0.0,0.0,0.0
143,82.26,15.67,2.06,0.0,0.0,0.0
144,82.26,15.67,2.06,0.0,0.0,0.0
145,85.4,12.54,2.06,0.0,0.0,0.0
146,95.29,2.64,2.06,0.0,0.0,0.0
147,95.29,2.64,2.06,0.0,0.0,0.0
148,89.73,8.21,2.06,0.0,0.0,0.0
149,89.61,8.33,2.06,0.0,0.0,0.0
150,90.94,7.96,1.09,0.01,0.0,0.0
151,90.94,7.97,1.09,0.0,0.0,0.0
152,90.94,7.96,1.09,0.0,0.0,0.0
153,93.27,6.73,0.0,0.0,0.0,0.0
154,94.07,5.93,0.0,0.0,0.0,0.0
155,95.55,4.45,0.0,0.0,0.0,0.0
156,95.68,4.32,0.0,0.0,0.0,0.0
157,95.68,4.32,0.0,0.0,0.0,0.0
158,95.68,4.32,0.0,0.0,0.0,0.0
159,95.68,4.32,0.0,0.0,0.0,0.0
160,95.68,4.32,0.0,0.0,0.0,0.0
161,95.68,4.32,0.0,0.0,0.0,0.0
