,None,D0,D1,D2,D3,D4
534,15.84,25.19,37.83,21.14,0.0,0.0
535,15.84,23.93,37.36,22.87,0.0,0.0
536,15.84,23.93,33.88,26.35,0.0,0.0
537,4.89,13.64,32.48,49.0,0.0,0.0
538,3.54,14.45,35.75,46.25,0.0,0.0
539,2.22,8.16,43.36,46.25,0.0,0.0
540,2.22,8.17,49.47,40.14,0.0,0.0
541,0.11,9.75,44.42,45.73,0.0,0.0
542,4.39,20.38,59.22,16.02,0.0,0.0
543,4.39,23.53,56.07,16.02,0.0,0.0
544,4.77,27.47,62.7,5.06,0.0,0.0
545,10.37,30.57,59.06,0.0,0.0,0.0
546,10.37,30.57,59.06,0.0,0.0,0.0
547,11.09,31.58,57.33,0.0,0.0,0.0
548,19.12,39.65,41.23,0.0,0.0,0.0
549,18.74,34.92,43.23,3.1,0.0,0.0
550,19.1,34.56,43.23,3.1,0.0,0.0
551,29.91,23.75,46.34,0.0,0.0,0.0
552,33.91,60.67,5.41,0.0,0.0,0.0
553,71.58,28.42,0.0,0.0,0.0,0.0
554,74.32,25.68,0.0,0.0,0.0,0.0
555,82.53,17.47,0.0,0.0,0.0,0.0
556,88.32,11.68,0.0,0.0,0.0,0.0
557,88.42,11.58,0.0,0.0,0.0,0.0
558,88.42,11.58,0.0,0.0,0.0,0.0
559,88.51,11.49,0.0,0.0,0.0,0.0
560,89.22,10.78,0.0,0.0,0.0,0.0
561,89.25,10.75,0.0,0.0,0.0,0.0
562,89.25,10.75,0.0,0.0,0.0,0.0
563,89.25,10.75,0.0,0.0,0.0,0.0
564,89.25,10.75,0.0,0.0,0.0,0.0
565,89.14,10.86,0.0,0.0,0.0,0.0
566,89.14,10.86,0.0,0.0,0.0,0.0
567,87.36,12.64,0.0,0.0,0.0,0.0
568,87.55,12.45,0.0,0.0,0.0,0.0
569,92.14,7.86,0.0,0.0,0.0,0.0
570,92.12,7.88,0.0,0.0,0.0,0.0
571,92.12,7.88,0.0,0.0,0.0,0.0
572,85.34,14.66,0.0,0.0,0.0,0.0
573,85.34,14.66,0.0,0.0,0.0,0.0
574,85.34,14.66,0.0,0.0,0.0,0.0
575,85.34,14.66,0.0,0.0,0.0,0.0
576,87.87,12.13,0.0,0.0,0.0,0.0
577,87.71,12.29,0.0,0.0,0.0,0.0
578,87.71,12.29,0.0,0.0,0.0,0.0
579,99.99,0.01,0.0,0.0,0.0,0.0
580,99.99,0.01,0.0,0.0,0.0,0.0
581,99.99,0.01,0.0,0.0,0.0,0.0
582,99.99,0.01,0.0,0.0,0.0,0.0
583,99.99,0.01,0.0,0.0,0.0,0.0
584,99.99,0.01,0.0,0.0,0.0,0.0
585,99.99,0.01,0.0,0.0,0.0,0.0
586,99.99,0.01,0.0,0.0,0.0,0.0
587,99.99,0.01,0.0,0.0,0.0,0.0
588,99.99,0.01,0.0,0.0,0.0,0.0
589,99.99,0.01,0.0,0.0,0.0,0.0
590,99.99,0.01,0.0,0.0,0.0,0.0
591,99.94,0.06,0.0,0.0,0.0,0.0
592,96.87,3.13,0.0,0.0,0.0,0.0
593,94.2,5.8,0.0,0.0,0.0,0.0
594,94.2,5.8,0.0,0.0,0.0,0.0
595,99.94,0.06,0.0,0.0,0.0,0.0
596,99.94,0.06,0.0,0.0,0.0,0.0
597,77.34,22.66,0.0,0.0,0.0,0.0
598,77.34,22.66,0.0,0.0,0.0,0.0
599,99.94,0.06,0.0,0.0,0.0,0.0
600,99.94,0.06,0.0,0.0,0.0,0.0
601,99.94,0.06,0.0,0.0,0.0,0.0
602,99.93,0.07,0.0,0.0,0.0,0.0
603,98.62,1.38,0.0,0.0,0.0,0.0
604,98.62,1.38,0.0,0.0,0.0,0.0
605,94.86,5.14,0.0,0.0,0.0,0.0
606,79.56,19.19,1.25,0.0,0.0,0.0
607,78.93,18.93,2.14,0.0,0.0,0.0
608,81.67,15.92,2.41,0.0,0.0,0.0
609,90.14,7.45,2.41,0.0,0.0,0.0
610,90.14,5.24,4.43,0.19,0.0,0.0
611,90.14,5.24,4.43,0.19,0.0,0.0
612,90.14,5.24,4.43,0.19,0.0,0.0
613,90.14,5.24,4.43,0.19,0.0,0.0
614,88.08,5.86,5.83,0.24,0.0,0.0
615,88.08,5.86,5.83,0.24,0.0,0.0
616,85.44,6.48,7.84,0.24,0.0,0.0
617,85.44,6.48,7.84,0.24,0.0,0.0
618,85.44,6.48,7.84,0.24,0.0,0.0
619,85.44,6.48,7.84,0.24,0.0,0.0
620,85.44,6.48,7.84,0.24,0.0,0.0
621,85.44,6.48,7.84,0.24,0.0,0.0
622,85.44,6.48,7.84,0.24,0.0,0.0
623,85.44,6.48,7.84,0.24,0.0,0.0
624,85.44,6.48,7.84,0.24,0.0,0.0
625,85.44,6.48,7.84,0.24,0.0,0.0
626,87.46,4.47,7.84,0.24,0.0,0.0
